,AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,PutOuts,Assists,Errors,Salary,League_N,Division_W,NewLeague_N
208,209,59,6,20,37,27,4,884,209,14,66,106,92,415,35,3,543.8635616666207,1,0,1
210,317,88,3,40,32,19,8,2543,715,28,269,270,118,220,16,4,392.1877383308216,0,1,0
225,330,76,12,35,41,47,4,1367,326,55,167,198,167,512,30,5,521.6183021401176,1,1,1
228,359,84,4,46,27,21,12,4992,1257,37,699,386,387,151,8,5,510.1579795198092,1,1,1
235,551,160,23,86,90,87,5,2235,602,75,278,328,273,1224,115,11,1153.9773673385566,0,1,0
246,462,119,16,49,65,37,7,2131,583,69,244,288,150,866,65,6,879.2554563267454,0,0,0
250,33,6,0,2,4,7,1,33,6,0,2,4,7,205,5,4,107.73887905032194,0,1,0
253,186,44,7,28,16,11,1,186,44,7,28,16,11,99,3,1,148.10030636585498,1,1,1
254,307,80,1,42,36,29,7,2421,656,18,379,198,184,145,2,2,390.51137810026637,0,1,0
270,303,84,4,35,32,23,2,312,87,4,39,32,23,179,5,3,251.02876522154003,1,1,1
283,16,2,0,1,0,0,2,28,4,0,1,0,0,247,4,8,239.7886903235925,0,0,0
292,289,63,7,36,41,44,17,7402,1954,195,1115,919,1153,166,211,7,772.5732184670019,0,1,0
298,181,46,1,19,18,17,5,937,238,9,88,95,104,37,98,9,301.8930969189351,0,0,0
302,200,51,2,14,29,25,23,9778,2732,379,1272,1652,925,398,29,7,1197.7449813668807,1,1,1
305,580,194,9,91,62,78,8,3372,1028,48,604,314,469,270,13,6,1020.280807820722,1,0,1
316,221,53,2,21,23,22,8,1063,283,15,107,124,106,325,58,6,447.86116107826473,1,0,1
